c,cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat66_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,is_gap,time_since_last_obs,time_to_next_obs
21.0,2.0,0.01629451,8119.0,5771.0,5926.0,6002.0,6093.0,6318.0,7372.0,7757.9995,7878.9995,400.0,256.0,32.333824,0.00700668,0.37211046,-0.92818844,0.0,0.0,0.0
21.0,2.0,0.01579813,8193.0,5747.0,5944.0,6104.0,6186.9995,6451.0,7240.9995,7767.0,7975.999,400.0,384.0,32.825344,0.0070971535,0.37089515,-0.92867476,0.0,0.0,0.0
31.0,2.0,0.01854313,10143.0,8362.0,8506.0,8608.0,8671.0,8896.0,9108.0,9341.0,9747.0,400.0,512.0,32.600063,0.0075243902,0.3651476,-0.9309496,0.0,0.0,0.0
31.0,2.0,0.01850932,9729.0,8351.0,8500.0,8610.0,8665.0,8817.0,9073.0,9343.0,9478.0,400.0,1024.0,33.599487,0.007534443,0.3650122,-0.93100274,0.0,0.0,0.0
31.0,2.0,0.01845513,9761.0,8349.0,8488.0,8570.0,8635.0,8786.0,8995.0,9205.0,9491.0,400.0,896.0,33.284096,0.007549522,0.36480907,-0.93108237,0.0,0.0,0.0
31.0,2.0,0.01849641,11767.0,8474.0,8597.0,8690.0,8749.0,9202.0,10334.0,11185.0,11303.0,400.0,640.0,33.53395,0.0075947586,0.3641996,-0.9313209,0.0,0.0,0.0
31.0,2.0,0.01850259,12047.0,8473.0,8631.0,8749.0,8890.0,9283.0,11132.0,11816.0,11891.0,400.0,256.0,33.800194,0.0076249163,0.3637932,-0.93147975,0.0,0.0,0.0
31.0,2.0,0.01852656,12131.0,8279.0,8539.0,9039.0,9502.0,10384.0,10842.0,11308.0,11755.0,400.0,384.0,32.997375,0.00771539,0.3625736,-0.93195516,0.0,0.0,0.0
41.0,2.0,0.01854313,14498.0,11127.0,11374.0,11571.0,11747.0,13172.0,13400.0,13932.0,14076.0,400.0,512.0,33.632256,0.008132574,0.3569418,-0.9341266,0.0,0.0,0.0
41.0,2.0,0.01850025,14746.0,11202.0,11427.0,11614.0,11727.0,12488.0,13123.0,13764.0,14189.0,400.0,768.0,33.808384,0.008142627,0.35680595,-0.93417853,0.0,0.0,0.0
41.0,2.0,0.01850116,14330.0,11191.0,11363.0,11536.0,11639.0,12300.0,12914.0,13085.0,13424.0,400.0,896.0,33.779713,0.00815268,0.35667005,-0.9342304,0.0,0.0,0.0
41.0,2.0,0.01849043,14455.0,11228.0,11417.0,11541.0,11639.0,12152.0,12711.0,13329.0,13855.0,400.0,128.0,33.947647,0.008162732,0.35653418,-0.9342823,0.0,0.0,0.0
41.0,2.0,0.01852141,12786.0,11233.0,11404.0,11536.0,11595.0,11863.0,12017.0,12326.0,12531.0,400.0,640.0,34.80371,0.008207968,0.3559226,-0.9345154,0.0,0.0,0.0
41.0,2.0,0.018476,14331.0,11197.0,11357.0,11491.0,11620.0,12565.0,13593.0,14062.0,14123.0,400.0,256.0,34.51699,0.0082381265,0.35551482,-0.9346706,0.0,0.0,0.0
41.0,2.0,0.01852656,13935.0,11216.0,11480.0,11883.0,12459.0,13061.0,13492.0,13707.0,13780.0,400.0,384.0,33.992702,0.008333626,0.35422304,-0.935161,0.0,0.0,0.0
51.0,2.0,0.01848872,17408.0,14339.0,15028.0,15312.0,15444.0,15837.0,16061.0,16440.0,17009.0,400.0,512.0,36.634624,0.008760863,0.34843573,-0.9373327,0.0,0.0,0.0
51.0,2.0,0.01852883,16843.0,14292.0,14835.0,15276.0,15440.0,15712.0,15953.0,16357.0,16522.0,400.0,1024.0,35.127296,0.008770916,0.34829938,-0.93738335,0.0,0.0,0.0
51.0,2.0,0.01854154,17494.0,14433.0,14951.0,15220.0,15364.0,15705.0,16046.0,16628.0,16732.0,400.0,896.0,35.31981,0.008785995,0.34809488,-0.9374593,0.0,0.0,0.0
51.0,2.0,0.01848907,16933.0,14482.0,14789.0,15197.0,15345.0,15715.0,16075.0,16434.0,16776.0,400.0,128.0,35.93011,0.008791021,0.3480267,-0.9374846,0.0,0.0,0.0
