cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,mean_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,sin_hour,cos_hour,is_gap,time_since_last_obs,time_to_next_obs
3.5,0.263686,3669.259,3568.001,3617.282,3629.6423,3648.8223,3656.5732,3662.8418,3665.0762,3573.2,140.0,1536.0,454.3324,0.02437043,-0.22282478,-0.9748585,-0.777146,0.6293204,0.0,0.0,0.0
3.5,0.487369,2666.8633,2556.5137,2632.0718,2644.8906,2650.852,2653.4824,2658.1978,2661.0269,2559.0122,150.0,1536.0,463.17157,0.024776604,-0.22395892,-0.9745986,-0.7592713,0.65077424,0.0,0.0,0.0
3.5,0.487369,3250.0427,3102.985,3182.0977,3214.9373,3228.188,3238.713,3244.543,3247.7273,3115.2122,160.0,1536.0,471.17923,0.025182778,-0.22509277,-0.97433734,-0.7408046,0.67172056,0.0,0.0,0.0
3.5,0.33398065,21211.48,10530.989,19387.73,12536.262,23121.275,5620.557,25255.15,6478.942,10198.996,144.10532,1912.6213,689.8868,0.025588952,-0.22622631,-0.9740748,-0.7217602,0.6921432,1.0,1.0,18.0
3.5,0.35638618,22533.766,10891.551,20862.168,13961.271,23205.582,8058.2983,23997.605,9013.608,11295.164,172.09901,2074.3113,671.109,0.025995126,-0.22735955,-0.9738109,-0.702153,0.71202606,1.0,2.0,17.0
3.5,0.3693481,23194.305,11637.127,20384.602,14735.658,22618.295,9541.206,24139.445,9890.704,11932.202,167.43102,2107.2542,688.35297,0.0264013,-0.22849247,-0.9735457,-0.6819984,0.7313537,1.0,3.0,16.0
3.4992633,0.35279113,24135.457,11984.587,20832.535,15146.891,22893.312,10356.068,24811.385,10584.613,12627.345,166.23686,2137.321,686.7657,0.026807474,-0.22962509,-0.9732792,-0.66131186,0.75011104,1.0,4.0,15.0
3.4806323,0.3835535,24222.48,13341.82,20645.557,16464.611,22412.672,11628.457,24117.15,12750.873,14096.354,164.34003,2068.0178,696.82196,0.027213648,-0.23075739,-0.9730113,-0.6401097,0.76828355,1.0,5.0,14.0
3.4721937,0.41489965,24013.617,13494.629,20274.195,16851.848,21323.99,12308.828,23154.533,13756.307,14672.564,160.4718,1977.1681,696.77295,0.027619822,-0.23188938,-0.97274214,-0.6184084,0.7858569,1.0,6.0,13.0
3.463936,0.42749614,23740.71,14490.311,20285.8,17668.246,20264.047,13457.678,22308.959,15807.16,15907.127,160.94513,1837.3276,702.5352,0.028025996,-0.23302107,-0.9724717,-0.5962249,0.80281746,1.0,7.0,12.0
3.458298,0.46241793,22739.566,14604.115,19538.23,18160.502,19352.025,14230.926,21655.416,17361.271,16685.66,166.56627,1670.1201,709.49457,0.028432168,-0.23415244,-0.9721999,-0.57357645,0.81915206,1.0,8.0,11.0
3.4489362,0.474601,23288.943,15192.2,19941.205,18277.549,19882.242,15620.219,22245.787,18797.281,17668.967,176.10132,1581.6395,724.547,0.028838342,-0.23528348,-0.9719268,-0.5504807,0.83484787,1.0,9.0,10.0
3.4560149,0.43505925,22636.14,13372.211,19264.812,15981.445,19168.375,13403.682,21559.396,15493.535,15652.656,160.47206,1658.3416,712.45605,0.029244516,-0.23641421,-0.9716524,-0.5269558,0.8498927,1.0,10.0,9.0
3.4544945,0.41429973,21416.238,12246.021,18237.648,14739.977,17716.805,11896.096,20420.865,14510.008,14452.105,142.13132,1668.7474,698.5632,0.02965069,-0.23754461,-0.97137666,-0.5030199,0.8642748,1.0,11.0,8.0
3.4484775,0.4053681,20383.715,11841.693,17383.227,14287.143,16697.916,11705.42,18673.584,14016.924,13885.125,136.83243,1639.5399,690.16595,0.030056864,-0.2386747,-0.97109956,-0.47869185,0.877983,1.0,12.0,7.0
3.4492357,0.40430167,19480.145,10808.428,16455.658,12794.049,16019.221,10696.045,17669.676,12930.746,12346.896,122.165535,1658.4133,685.9922,0.030463038,-0.23980446,-0.9708212,-0.4539905,0.8910065,1.0,13.0,6.0
3.4637249,0.33500296,19227.635,9002.333,15609.159,10425.451,15478.782,8594.727,17448.793,9681.294,9933.348,95.22062,1750.7682,672.33026,0.030869212,-0.24093391,-0.97054154,-0.42893514,0.9033353,1.0,14.0,5.0
3.4606621,0.317971,18368.625,8527.928,14938.173,9869.711,14835.718,8241.999,16444.074,8998.876,9749.892,92.2774,1710.9658,665.5115,0.031275384,-0.24206302,-0.9702605,-0.4035453,0.91495967,1.0,15.0,4.0
3.44596,0.31048763,16442.297,8053.8765,13637.015,8722.139,13291.508,7587.4185,14535.918,8662.76,9416.667,92.45906,1669.175,662.677,0.03168156,-0.24319181,-0.9699782,-0.3778408,0.9258706,1.0,16.0,3.0
3.4555655,0.28291103,16209.381,5681.1646,13119.515,7133.5737,13574.605,5444.249,14483.722,5426.4453,7685.2104,62.622337,1668.2964,678.1033,0.032087732,-0.24432026,-0.9696946,-0.35184166,0.93605953,1.0,17.0,2.0
3.4315383,0.23830736,9019.026,7617.501,8293.142,8379.743,6411.735,4318.322,7946.172,8098.8335,7576.048,64.07609,1517.9235,611.23663,0.032493908,-0.24544838,-0.96940964,-0.32556817,0.94551855,1.0,18.0,1.0
3.5,0.002941966,309.6045,298.07617,305.4922,305.4922,306.04395,307.82227,307.82275,307.82324,299.43506,20.0,1280.0,548.72064,0.03290008,-0.24657618,-0.9691234,-0.2990408,0.9542403,0.0,0.0,0.0
3.5,0.06633595,492.29492,474.479,486.44092,487.12793,490.10107,491.25342,491.3589,491.3584,476.01074,30.0,1280.0,263.8191,0.033306256,-0.24770364,-0.96883583,-0.27228025,0.962218,0.0,0.0,0.0
3.5,0.07492301,798.8594,761.03516,783.77783,785.583,794.0166,795.5493,798.2207,798.2212,760.8252,50.0,1280.0,306.49136,0.033712428,-0.24883077,-0.968547,-0.24530739,0.96944535,0.0,0.0,0.0
3.5,0.13912398,885.1587,856.042,870.3203,871.29443,880.48975,882.80225,883.2158,884.99023,852.52,60.0,1280.0,356.73703,0.034118604,-0.24995755,-0.9682568,-0.21814324,0.97591674,0.0,0.0,0.0
